Property Address,Parcel Number,Inspection Date,Grade,License Status,Expiration Date,Mappable Address
502 West Green Street Unit 211,922117127033,12/22/2008,Class A,Issued,10/14/2021,"502 West Green Street
Urbana, IL
(-88.2134, 40.1107)"
1409 Lincolnwood Drive,922116477013,01/21/2015,Class B,Issued,10/14/2021,"1409 Lincolnwood Drive
Urbana, IL
(-88.1859, 40.1008)"
308 Locust Street,912108383006,09/28/2007,Class B,Issued,10/14/2021,"308 Locust Street
Urbana, IL
(-88.2112, 40.1138)"
904 East Park Street,912109307002,08/16/2010,Class B,Expired,10/14/2021,"904 East Park Street
Urbana, IL
(-88.197, 40.1174)"
1003 Stoughton Street,912107483006,12/23/2008,Class B,Issued,,"1003 Stoughton Street
Urbana, IL
(-88.2211, 40.1133)"
1211 Beech Street,912107260001,06/17/2011,Class C,Issued,10/14/2021,"1211 Beech Street
Urbana, IL
(-88.2256, 40.1219)"
605 East Shurts Street,932121352001,03/13/2017,Class B,Issued,10/14/2021,"605 East Shurts Street
Urbana, IL
(40.08602, -88.19979)"
502 West Main Street,912108378004,08/29/2007,Class B,Issued,10/14/2020,"502 West Main Street
Urbana, IL
(-88.2132, 40.1141)"
1411 East Pennsylvania Avenue,922116382024,05/13/2016,Class B,Issued,10/14/2021,"1411 East Pennsylvania Avenue
Urbana, IL
(-88.191, 40.099)"
2306 South Anderson Street,932121354007,03/09/2017,Class B,Issued,10/14/2021,"2306 South Anderson Street
Urbana, IL
(40.087254, -88.19923)"
2010 South Race Street,932120252005,08/29/2016,Class B,Issued,10/14/2021,"2010 South Race Street
Urbana, IL
(-88.2092, 40.0929)"
1107 East Florida Avenue,932121126002,11/15/2017,Class B,Issued,10/14/2021,"1107 East Florida Avenue
Urbana, IL
(40.0977973938, -88.1940002441)"
1606 Hunter Street,922116402057,07/21/2014,Class B,Issued,10/14/2021,"1606 Hunter Street
Urbana, IL
(-88.1881, 40.1038)"
203 South Cottage Grove Avenue,922116104033,04/09/2012,Class B,Expired,10/14/2021,"203 South Cottage Grove Avenue
Urbana, IL
(-88.1961, 40.1117)"
2308 East Vermont Avenue,912115352030,03/19/2015,Class B,Issued,10/14/2020,"2308 East Vermont Avenue
Urbana, IL
(-88.1774, 40.1006)"
1201 Silver Street,932121182006,06/14/2013,Class B,Issued,10/14/2021,"1201 Silver Street
Urbana, IL
(-88.1937, 40.0912)"
201 East Michigan Avenue,932117455005,08/07/2009,Class A,Expired,,"201 East Michigan Avenue
Urbana, IL
(-88.2059, 40.1016)"
506 Griggs Street,912108377008,07/06/2007,Class B,Issued,10/14/2019,"506 Griggs Street
Urbana, IL
(-88.2135, 40.1148)"
808 South Lincoln Avenue,922117154009,01/29/2013,Class B,Issued,10/14/2021,"808 South Lincoln Avenue
Urbana, IL
(-88.2188, 40.1057)"
707 South Race Street,922117259009,06/04/2019,Class B,Issued,10/14/2021,"707 South Race Street
Urbana, IL
(40.107014, -88.20908)"
704 North Coler Avenue,912108308009,04/09/2014,Class B,Issued,10/14/2021,"704 North Coler Avenue
Urbana, IL
(-88.2154, 40.1186)"
712 South Maple Street,922117286009,02/12/2020,Class B,Issued,10/14/2021,"712 South Maple Street
Urbana, IL
(40.1066246033, -88.2021255493)"
509 South Cottage Grove Avenue,922116155012,01/12/2016,Class C,Issued,10/14/2021,"509 South Cottage Grove Avenue
Urbana, IL
(-88.1961, 40.1087)"
1203 Eads Street,912107259005,05/18/2011,Class B,Issued,10/14/2021,"1203 Eads Street
Urbana, IL
(-88.2247, 40.1229)"
902 North Lincoln Avenue,912108151037,03/05/2012,Class B,Issued,,"902 North Lincoln Avenue
Urbana, IL
(-88.2192, 40.1203)"
1313 South Abercorn Street,912115390021,02/14/2018,Class A,Issued,10/14/2021,"1313 South Abercorn Street
Urbana, IL
(40.102519989, -88.1730041504)"
