Property Address	Parcel Number	Inspection Date	Grade	License Status	Expiration Date	Mappable Address
1006 Lanore Drive	922116426008.00	8/6/2014	Class B	Issued		"1006 Lanore Drive
Urbana, IL
(-88.1863, 40.1043)"
710 1/2 South Race Street	922117261006.00	6/30/2009	Class B	Expired		"710 1 2 South Race Street
Urbana, IL
(-88.2084, 40.1068)"
511 West California Avenue	922117177001.00	4/30/2019	Class A	Issued	10/14/2021	"511 West California Avenue
Urbana, IL
(40.1080627441, -88.2143249512)"
1105 North Carroll Avenue	912109126035.00	2/12/2018	Class A	Fee Exempt Registration	10/14/2020	"1105 North Carroll Avenue
Urbana, IL
(40.1235656738, -88.1953048706)"
308 East Oregon Street	922117280010.00	3/4/2020	Class B	Issued	10/14/2021	"308 East Oregon Street
Urbana, IL
(40.1078109741, -88.2038803101)"
701 North Busey Avenue	912108302024.00	2/6/2014	Class B	Issued	10/14/2021	"701 North Busey Avenue
Urbana, IL
(-88.2173, 40.1184)"
1211 Dublin Street	912107261001.00	7/12/2011	Class C	Issued	10/14/2019	"1211 Dublin Street
Urbana, IL
(-88.2251, 40.1212)"
705 North Coler Avenue	912108305016.00	2/12/2014	Class B	Issued	10/14/2021	"705 North Coler Avenue
Urbana, IL
(-88.216, 40.1188)"
1106 North Lincoln Avenue	912108151008.00	12/8/2011	Class B	Expired	10/14/2021	"1106 North Lincoln Avenue
Urbana, IL
(-88.2191, 40.1223)"
906 1/2 East Washington Street	922116163028.00	12/10/2012	Class B	Issued	10/14/2021	"906 1 2 East Washington Street
Urbana, IL
(-88.1973, 40.1059)"
606 East Elm Street	922117232006.00	7/30/2007	Class B	Issued	10/14/2021	"606 East Elm Street
Urbana, IL
(-88.2008, 40.1121)"
512 Griggs Street	912108377005.00	8/4/2010	Class A	Issued	10/14/2021	"512 Griggs Street
Urbana, IL
(-88.2142, 40.1147)"
907 1/2 East Harding Drive	932121153008.00	7/8/2013	Class B	Issued		"907 1 2 East Harding Drive
Urbana, IL
(-88.1962, 40.0936)"
404 South Webber Street	922116108008.00	4/10/2012	Class B	Issued	10/14/2021	"404 South Webber Street
Urbana, IL
(-88.1989, 40.1098)"
1204 East Mumford Drive	932121326008.00	6/3/2013	Class B	Expired	10/14/2021	"1204 East Mumford Drive
Urbana, IL
(-88.1933, 40.0909)"
204 West High Street	922117211008.00	9/25/2019	Class B	Issued	10/14/2021	"204 West High Street
Urbana, IL
(40.110054, -88.20926)"
706 Sunny Lane	912115181010.00	3/26/2015	Class B	Issued	10/14/2021	"706 Sunny Lane
Urbana, IL
(-88.1722, 40.1067)"
113 South Poplar Street	922116126024.00	6/29/2012	Class B	Issued		"113 South Poplar Street
Urbana, IL
(-88.1949, 40.1119)"
1007 South Webber Street	922116301025.00	2/11/2016	Class A	Issued	10/14/2021	"1007 South Webber Street
Urbana, IL
(-88.1994, 40.104)"
501 East Illinois Street	922117278001.00	1/5/2010	Class B	Issued	10/14/2020	"501 East Illinois Street
Urbana, IL
(-88.2023, 40.1091)"
910 Crestwood Drive	922116303034.00	3/8/2016	Class B	Issued	10/14/2021	"910 Crestwood Drive
Urbana, IL
(-88.1969, 40.1034)"
2207 Lantern Hill Drive	912115304013.00	3/4/2015	Class B	Issued	10/14/2021	"2207 Lantern Hill Drive
Urbana, IL
(-88.1789, 40.1042)"
905 South Race Street	932117327011.00	6/5/2009	Class A	Issued	10/14/2020	"905 South Race Street
Urbana, IL
(-88.21, 40.1051)"
906 East Harding Drive Unit 302	932121152037.00	4/17/2017	Class B	Issued	10/14/2021	"906 East Harding Drive
Urbana, IL
(40.094006, -88.196106)"
1402 South Race Street	932117452001.00	12/21/2009	Class B	Issued	10/14/2018	"1402 South Race Street
Urbana, IL
(-88.2093, 40.1004)"
904 North Broadway Avenue Unit 203	912108257052.00	2/4/2008	Class B	Issued	10/14/2021	"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
309 South Poplar Street	922116130014.00	6/20/2012	Class B	Issued	10/14/2021	"309 South Poplar Street
Urbana, IL
(-88.1949, 40.1102)"
810 North Coler Avenue	912108308001.00	3/19/2014	Class B	Issued	10/14/2021	"810 North Coler Avenue
Urbana, IL
(-88.2154, 40.1199)"
1517 South Curtiss Drive	922116478031.00	4/13/2018	Class B	Issued	10/14/2021	"1517 South Curtiss Drive
Urbana, IL
(40.099521637, -88.1838531494)"
2501 Prairie Green Drive	912115326008.00	8/9/2018	Class B	Issued	10/14/2021	"2501 Prairie Green Drive
Urbana, IL
(40.1048965454, -88.1729736328)"
1403 East Pennsylvania Avenue	922116382011.00	4/12/2016	Class B	Issued	10/14/2021	"1403 East Pennsylvania Avenue
Urbana, IL
(-88.192, 40.099)"
