Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City
537215,SAM & MAZ INC,SAM & MAZ INC,2073669,Grocery Store,Risk 3 (Low),2226 E 79TH ST,CHICAGO
612283,GREEN OAK FOOD & LIQUOR INC,GREEN OAK FOOD & LIQUOR INC,33090,Grocery Store,Risk 3 (Low),956 N LARRABEE ST,CHICAGO
88770,Palmer Elementary School,Palmer Elementary School,24821,School,Risk 1 (High),5051 N Kenneth (4432W),CHICAGO
549210,CAFE RENEE INC,CAFE RENEE INC,25260,Restaurant,Risk 1 (High),6411 W 63RD ST,CHICAGO
577265,PEPE'S MEXICAN RESTAURANT,PEPE'S MEXICAN RESTAURANT,43079,Restaurant,Risk 1 (High),3231-3237 W 63RD ST,CHICAGO
577223,DEMERIOS MARNERIS,NICKY'S,7813,Restaurant,Risk 1 (High),5801 S KEDZIE AVE,CHICAGO
537448,SIERRA'S FREEZE,SIERRA'S FREEZE,2102487,Mobile Food Dispenser,Risk 2 (Medium),8622 S Commercial AVE,CHICAGO
539228,"UNITED CLUB ,T-1  CONCOURSE C",UNITED CLUB (T1 C16),1333235,Restaurant,Risk 2 (Medium),11601 W TOUHY AVE,CHICAGO
525239,BREAKER'S PANTRY,NA,2078751,Grocery Store,Risk 3 (Low),5343 N SHERIDAN RD,CHICAGO
567401,JAFFA BAKERY,JAFFA BAKERY,1820847,Restaurant,Risk 1 (High),201 N CLARK ST,CHICAGO
491466,HAN BAT RESTAURANT,HAN BAT RESTAURANT,79435,NA,Risk 3 (Low),2723 W LAWRENCE AVE,CHICAGO
545228,71 CHOP SUEY,71 CHOP SUEY,2079427,Restaurant,Risk 1 (High),510 E 71ST ST,CHICAGO
537400,PUPUSERIA EL EXCELENTE,PUPUSERIA EL EXCELENTE,2093046,Restaurant,Risk 1 (High),10244 S EWING AVE,CHICAGO
577208,POTBELLY SANDWICH WORKS LLC,POTBELLY SANDWICH WORKS LLC,1543377,Restaurant,Risk 1 (High),7601 S CICERO AVE,CHICAGO
557405,PUEBLO NUEVO,PUEBLO NUEVO,2098852,Restaurant,Risk 1 (High),4342 N CENTRAL AVE,CHICAGO
